Step, State
623, 0.608980
624, 0.609474
625, 0.609968
626, 0.610462
627, 0.610955
628, 0.611448
629, 0.611940
630, 0.612432
631, 0.612924
632, 0.613415
633, 0.613906
634, 0.614397
635, 0.614887
636, 0.615377
637, 0.615866
638, 0.616355
639, 0.616844
640, 0.617332
641, 0.617820
642, 0.618307
643, 0.618794
644, 0.619281
645, 0.619767
646, 0.620253
647, 0.620739
648, 0.621224
649, 0.621709
650, 0.622193
651, 0.622678
652, 0.623161
653, 0.623645
654, 0.624128
655, 0.624610
656, 0.625092
657, 0.625574
658, 0.626056
659, 0.626537
660, 0.627018
661, 0.627498
662, 0.627978
663, 0.628458
664, 0.628937
665, 0.629416
666, 0.629895
667, 0.630373
668, 0.630851
669, 0.631329
670, 0.631806
671, 0.632283
672, 0.632759
673, 0.633235
674, 0.633711
675, 0.634187
676, 0.634662
677, 0.635136
678, 0.635611
679, 0.636085
680, 0.636559
681, 0.637032
682, 0.637505
683, 0.637978
684, 0.638450
685, 0.638922
686, 0.639393
687, 0.639865
688, 0.640336
689, 0.640806
690, 0.641277
691, 0.641746
692, 0.642216
693, 0.642685
694, 0.643154
695, 0.643623
696, 0.644091
697, 0.644559
698, 0.645026
699, 0.645494
700, 0.645960
701, 0.646427
702, 0.646893
703, 0.647359
704, 0.647825
705, 0.648290
706, 0.648755
707, 0.649219
708, 0.649684
709, 0.650148
710, 0.650611
711, 0.651075
712, 0.651537
713, 0.652000
714, 0.652462
715, 0.652924
716, 0.653386
717, 0.653847
718, 0.654308
719, 0.654769
720, 0.655229
721, 0.655690
722, 0.656149
723, 0.656609
724, 0.657068
725, 0.657527
726, 0.657985
727, 0.658443
728, 0.658901
729, 0.659359
730, 0.659816
731, 0.660273
732, 0.660729
733, 0.661186
734, 0.661642
735, 0.662097
736, 0.662553
737, 0.663008
738, 0.663462
739, 0.663917
740, 0.664371
741, 0.664825
742, 0.665278
743, 0.665732
744, 0.666184
745, 0.666637
746, 0.667089
747, 0.667541
748, 0.667993
749, 0.668444
750, 0.668896
751, 0.669346
752, 0.669797
753, 0.670247
754, 0.670697
755, 0.671147
756, 0.671596
757, 0.672045
758, 0.672494
759, 0.672942
760, 0.673390
761, 0.673838
762, 0.674286
763, 0.674733
764, 0.675180
765, 0.675626
766, 0.676073
767, 0.676519
768, 0.676965
769, 0.677410
770, 0.677855
771, 0.678300
772, 0.678745
773, 0.679189
774, 0.679633
775, 0.680077
776, 0.680521
777, 0.680964
778, 0.681407
779, 0.681849
780, 0.682292
781, 0.682734
782, 0.683176
783, 0.683617
784, 0.684058
785, 0.684499
786, 0.684940
787, 0.685380
788, 0.685821
789, 0.686260
790, 0.686700
791, 0.687139
792, 0.687578
793, 0.688017
794, 0.688455
795, 0.688894
796, 0.689331
797, 0.689769
798, 0.690206
799, 0.690644
800, 0.691080
801, 0.691517
802, 0.691953
803, 0.692389
804, 0.692825
805, 0.693260
806, 0.693696
807, 0.694130
808, 0.694565
809, 0.694999
810, 0.695434
811, 0.695867
812, 0.696301
813, 0.696734
814, 0.697167
815, 0.697600
816, 0.698033
817, 0.698465
818, 0.698897
819, 0.699329
820, 0.699760
821, 0.700191
822, 0.700622
823, 0.701053
824, 0.701483
825, 0.701913
826, 0.702343
827, 0.702773
828, 0.703202
829, 0.703631
830, 0.704060
831, 0.704489
832, 0.704917
833, 0.705345
834, 0.705773
835, 0.706201
836, 0.706628
837, 0.707055
838, 0.707482
839, 0.707909
840, 0.708335
841, 0.708761
842, 0.709187
843, 0.709612
844, 0.710038
845, 0.710463
846, 0.710887
847, 0.711312
848, 0.711736
849, 0.712160
850, 0.712584
851, 0.713008
852, 0.713431
853, 0.713854
854, 0.714277
855, 0.714699
856, 0.715122
857, 0.715544
858, 0.715965
859, 0.716387
860, 0.716808
861, 0.717229
862, 0.717650
863, 0.718071
864, 0.718491
865, 0.718911
866, 0.719331
867, 0.719751
868, 0.720170
869, 0.720589
870, 0.721008
871, 0.721427
872, 0.721845
873, 0.722264
874, 0.722682
875, 0.723099
876, 0.723517
877, 0.723934
878, 0.724351
879, 0.724768
880, 0.725184
881, 0.725601
882, 0.726017
883, 0.726432
884, 0.726848
885, 0.727263
886, 0.727678
887, 0.728093
888, 0.728508
889, 0.728922
890, 0.729337
891, 0.729751
892, 0.730164
893, 0.730578
894, 0.730991
895, 0.731404
896, 0.731817
897, 0.732229
898, 0.732642
899, 0.733054
900, 0.733466
901, 0.733877
902, 0.734289
903, 0.734700
904, 0.735111
905, 0.735522
906, 0.735932
907, 0.736343
908, 0.736753
909, 0.737162
910, 0.737572
911, 0.737981
912, 0.738391
913, 0.738800
914, 0.739208
915, 0.739617
916, 0.740025
917, 0.740433
918, 0.740841
919, 0.741249
920, 0.741656
921, 0.742063
922, 0.742470
923, 0.742877
924, 0.743283
925, 0.743690
926, 0.744096
927, 0.744501
928, 0.744907
929, 0.745313
930, 0.745718
931, 0.746123
932, 0.746527
933, 0.746932
934, 0.747336
935, 0.747740
936, 0.748144
937, 0.748548
938, 0.748952
939, 0.749355
940, 0.749758
941, 0.750161
942, 0.750563
943, 0.750966
944, 0.751368
945, 0.751770
946, 0.752172
947, 0.752573
948, 0.752974
949, 0.753376
950, 0.753777
951, 0.754177
952, 0.754578
953, 0.754978
954, 0.755378
955, 0.755778
956, 0.756178
957, 0.756577
958, 0.756976
959, 0.757375
960, 0.757774
961, 0.758173
962, 0.758571
963, 0.758969
964, 0.759367
965, 0.759765
966, 0.760163
967, 0.760560
968, 0.760957
969, 0.761354
970, 0.761751
971, 0.762148
972, 0.762544
973, 0.762940
974, 0.763336
975, 0.763732
976, 0.764127
977, 0.764523
978, 0.764918
979, 0.765313
980, 0.765708
981, 0.766102
982, 0.766497
983, 0.766891
984, 0.767285
985, 0.767678
986, 0.768072
987, 0.768465
988, 0.768858
989, 0.769251
990, 0.769644
991, 0.770037
992, 0.770429
993, 0.770821
994, 0.771213
995, 0.771605
996, 0.771996
997, 0.772388
998, 0.772779
999, 0.773170
1000, 0.773561
