Step, State
188, 0.289267
189, 0.290289
190, 0.291308
191, 0.292324
192, 0.293336
193, 0.294344
194, 0.295349
195, 0.296351
196, 0.297350
197, 0.298345
198, 0.299338
199, 0.300327
200, 0.301313
201, 0.302296
202, 0.303275
203, 0.304252
204, 0.305226
205, 0.306196
206, 0.307164
207, 0.308129
208, 0.309090
209, 0.310049
210, 0.311005
211, 0.311958
212, 0.312909
213, 0.313856
214, 0.314801
215, 0.315743
216, 0.316683
217, 0.317619
218, 0.318553
219, 0.319485
220, 0.320413
221, 0.321339
222, 0.322263
223, 0.323184
224, 0.324102
225, 0.325018
226, 0.325931
227, 0.326842
228, 0.327751
229, 0.328657
230, 0.329560
231, 0.330461
232, 0.331360
233, 0.332256
234, 0.333150
235, 0.334042
236, 0.334932
237, 0.335819
238, 0.336704
239, 0.337586
240, 0.338467
241, 0.339345
242, 0.340221
243, 0.341094
244, 0.341966
245, 0.342835
246, 0.343703
247, 0.344568
248, 0.345431
249, 0.346292
250, 0.347150
251, 0.348007
252, 0.348862
253, 0.349715
254, 0.350565
255, 0.351414
256, 0.352261
257, 0.353105
258, 0.353948
259, 0.354789
260, 0.355628
261, 0.356465
262, 0.357300
263, 0.358133
264, 0.358964
265, 0.359794
266, 0.360621
267, 0.361447
268, 0.362271
269, 0.363093
270, 0.363913
271, 0.364731
272, 0.365548
273, 0.366363
274, 0.367176
275, 0.367987
276, 0.368797
277, 0.369604
278, 0.370410
279, 0.371215
280, 0.372018
281, 0.372819
282, 0.373618
283, 0.374416
284, 0.375212
285, 0.376006
286, 0.376799
287, 0.377590
288, 0.378380
289, 0.379167
290, 0.379954
291, 0.380739
292, 0.381522
293, 0.382303
294, 0.383083
295, 0.383862
296, 0.384639
297, 0.385414
298, 0.386188
299, 0.386961
300, 0.387731
301, 0.388501
302, 0.389269
303, 0.390035
304, 0.390800
305, 0.391564
306, 0.392326
307, 0.393086
308, 0.393845
309, 0.394603
310, 0.395360
311, 0.396114
312, 0.396868
313, 0.397620
314, 0.398371
315, 0.399120
316, 0.399868
317, 0.400615
318, 0.401360
319, 0.402104
320, 0.402847
321, 0.403588
322, 0.404328
323, 0.405066
324, 0.405804
325, 0.406540
326, 0.407274
327, 0.408008
328, 0.408740
329, 0.409470
330, 0.410200
331, 0.410928
332, 0.411655
333, 0.412381
334, 0.413106
335, 0.413829
336, 0.414551
337, 0.415272
338, 0.415991
339, 0.416710
340, 0.417427
341, 0.418143
342, 0.418857
343, 0.419571
344, 0.420283
345, 0.420995
346, 0.421705
347, 0.422414
348, 0.423121
349, 0.423828
350, 0.424533
351, 0.425237
352, 0.425941
353, 0.426643
354, 0.427343
355, 0.428043
356, 0.428742
357, 0.429439
358, 0.430136
359, 0.430831
360, 0.431525
361, 0.432218
362, 0.432910
363, 0.433601
364, 0.434291
365, 0.434980
366, 0.435667
367, 0.436354
368, 0.437040
369, 0.437724
370, 0.438408
371, 0.439090
372, 0.439772
373, 0.440452
374, 0.441131
375, 0.441810
376, 0.442487
377, 0.443163
378, 0.443839
379, 0.444513
380, 0.445186
381, 0.445859
382, 0.446530
383, 0.447200
384, 0.447870
385, 0.448538
386, 0.449205
387, 0.449872
388, 0.450537
389, 0.451202
390, 0.451865
391, 0.452528
392, 0.453189
393, 0.453850
394, 0.454510
395, 0.455169
396, 0.455827
397, 0.456484
398, 0.457140
